a0_lob_1,cy_lob_1,a0_lob_2,cy_lob_2,a0_lob_4,cy_lob_4,a0_lob_6,cy_lob_6,a0_lob_10,cy_lob_10,a0_lob_1000,cy_lob_1000
0,0.8669725,0,0.9977064,0,1.190367,0,1.369266,0,1.8990825,0,2.4220183
0.31304348,0.80504584,0.38956523,0.9977064,0.28869566,1.1834862,0.18086956,1.3486239,0.18434782,1.5825688,0.1773913,1.8853211
0.68173915,0.7775229,0.66086954,0.9908257,0.56347823,1.1490825,0.3478261,1.3004587,0.36869565,1.3623853,0.33391306,1.5412844
1.0573913,0.76376146,1.0017391,0.9495413,0.76173913,1.059633,0.5078261,1.2247707,0.54608697,1.190367,0.5252174,1.293578
1.4226087,0.75688076,1.4226087,0.88073397,1.3982608,0.9495413,0.6678261,1.1009175,0.7478261,1.059633,0.72,1.1353211
1.7530435,0.7706422,1.812174,0.86009175,1.7843478,0.9082569,0.89391303,1.0183486,0.9704348,1.0114679,0.96347827,1.0321101
2,0.8119266,2,0.86009175,2,0.92201835,1.1478261,0.95642203,1.1478261,0.9701835,1.2347826,0.9701835
,,,,,,1.3947827,0.9151376,1.4852173,0.9082569,1.5408696,0.92201835
,,,,,,1.6104348,0.8944954,1.7913043,0.8944954,1.7634783,0.9013761
,,,,,,1.8643478,0.88761467,2,0.8944954,2,0.9151376
,,,,,,2,0.88761467,,,,
